NAME                                 	CHART VERSION	APP VERSION                 	DESCRIPTION                                                 
stable/sensu                         	0.2.3        	0.28                        	Sensu monitoring framework backed by the Redis transport    
stable/sentry                        	1.3.0        	9                           	Sentry is a cross-platform crash reporting and aggregatio...
stable/seq                           	0.1.1        	5.0.832-pre                 	Seq is the easiest way for development teams to capture, ...
stable/signalfx-agent                	0.3.0        	3.6.1                       	The SignalFx Kubernetes agent                               
stable/signalsciences                	0.0.1        	3.12.1                      	SignalSciences is a web application firewall. This chart ...
stable/sonatype-nexus                	1.15.1       	3.14.0-04                   	Sonatype Nexus is an open source repository manager         
stable/spark-history-server          	0.3.0        	2.4.0                       	A Helm chart for Spark History Server                       
stable/spartakus                     	1.1.5        	1.0.0                       	Collect information about Kubernetes clusters to help imp...
stable/spinnaker                     	1.5.0        	1.11.6                      	Open source, multi-cloud continuous delivery platform for...
stable/spotify-docker-gc             	0.3.0        	latest                      	A simple Docker container and image garbage collection sc...
stable/spring-cloud-data-flow        	1.0.2        	1.7.2.RELEASE               	Toolkit for building data processing pipelines.             
stable/stackdriver-exporter          	0.0.6        	0.6.0                       	Stackdriver exporter for Prometheus                         
stable/stellar-core                  	1.0.0        	10.0.0                      	Backbone node of the Stellar cryptocurrency network.        
stable/suitecrm                      	5.0.5        	7.11.1                      	SuiteCRM is a completely open source enterprise-grade Cus...
stable/sumokube                      	0.1.4        	latest                      	Sumologic Log Collector                                     
stable/sumologic-fluentd             	0.11.0       	2.1.0                       	Sumologic Log Collector                                     
stable/sysdig                        	1.2.2        	0.81.0                      	Sysdig Monitor and Secure agent                             
stable/telegraf                      	0.3.3        	1.5                         	Telegraf is an agent written in Go for collecting, proces...
stable/terracotta                    	1.0.0        	5.5.1                       	Terracotta Ehcache is an improved version of Java's de fa...
stable/testlink                      	4.0.3        	1.9.19                      	Web-based test management system that facilitates softwar...
stable/tomcat                        	0.2.0        	7                           	Deploy a basic tomcat application server with sidecar as ...
stable/uchiwa                        	0.2.7        	0.22                        	Dashboard for the Sensu monitoring framework                
stable/unbound                       	0.1.2        	1.6.7                       	Unbound is a fast caching DNS resolver                      
stable/unifi                         	0.2.8        	5.9.29                      	Ubiquiti Network's Unifi Controller                         
stable/vault-operator                	0.1.1        	0.1.9                       	CoreOS vault-operator Helm chart for Kubernetes             
stable/verdaccio                     	0.6.1        	3.10.0                      	A lightweight private npm proxy registry (sinopia fork)     
stable/weave-cloud                   	0.3.1        	1.1.0                       	Weave Cloud is a add-on to Kubernetes which provides Cont...
stable/weave-scope                   	0.11.0       	1.10.1                      	A Helm chart for the Weave Scope cluster visualizer.        
stable/wordpress                     	5.1.3        	5.0.3                       	Web publishing platform for building blogs and websites.    
stable/zetcd                         	0.1.9        	0.0.3                       	CoreOS zetcd Helm chart for Kubernetes                      
incubator/aws-alb-ingress-controller          	0.1.4        	v1.0.1             	A Helm chart for AWS ALB Ingress Controller                 
incubator/azuremonitor-containers             	0.5.0        	2.0.0-3            	Helm chart for deploying Azure Monitor container monitori...
